Setting,N,AnswerSim,AnswerAcc@0.65,SoftCitePrec@0.65,SoftCiteRec@0.65,RefusalRate(pred),RefusalF1,AvgLatency(ms),JudgeN,JudgeIntendedN,JudgeFailN,JudgeFailRate,JudgeScore,JudgeAcc@0.50
baselocal,100,0.36343588292410745,0.12857142857142856,0.7166666666666667,0.7428571428571429,0.0,0.0,18726.823506355286,70,70,0,0.0,0.12857142857142856,0.15714285714285714
sft,100,0.38106522504262685,0.14285714285714285,0.7119047619047619,0.7428571428571429,0.0,0.0,12846.853516101837,70,70,0,0.0,0.14285714285714285,0.17142857142857143
dpo,100,0.41634197262012684,0.14285714285714285,0.7166666666666667,0.7428571428571429,0.01,0.06451612903225806,16035.256233215332,70,70,0,0.0,0.12857142857142856,0.15714285714285714
