Setting,N,ValidN,EmbSimFull,EmbSimSentMax,EmbAccSentMax@0.50,TokF1,AvgLatency(ms)
baselocal,100,100,0.5215841972827912,0.5216998618841171,0.44,0.10214034630764517,18726.823506355286
sft,100,100,0.5317025277018547,0.5386303752660752,0.48,0.12026236269695816,12846.853516101837
dpo,100,100,0.528490289747715,0.5266128221154213,0.46,0.1182374987089855,16035.256233215332
